city,state_name,country_name,latitude,longitude,nyc_distance,dc_distance
Washington,District of Columbia,United States,38.889059149999994,-77.04016998008728,204.67279260883512,0.0
Arlington,Virginia,United States,38.8807617,-77.10769081477989,207.87304570327214,3.6850555430263827
Alexandria,Virginia,United States,38.8051095,-77.0470229,208.64014969055543,5.8026347153847535
Bethesda,Maryland,United States,38.9819845,-77.12423413116392,204.31989968227697,7.848656472429374
Silver Spring,Maryland,United States,38.9959461,-77.0276231,199.58862863249357,7.404099571907156
New York,New York,United States,40.7127281,-74.0060152,0.0,204.67279260883512
Rockville,Maryland,United States,39.0840054,-77.1527573,201.44450583553123,14.750646697960695
Chevy Chase,Maryland,United States,38.9822473,-77.0881873,202.75697158608875,6.929243280165567
Falls Church,Virginia,United States,38.882334,-77.1710914,210.49444467877126,7.073679104393328
Fairfax,Virginia,United States,38.8462236,-77.3063733,217.79573017875967,14.656556914200218
Baltimore,Maryland,United States,39.2908816,-76.610759,169.47033010269018,36.072571311675176
Gaithersburg,Maryland,United States,39.1434406,-77.2013705,201.29836731373618,19.574939073320238
Vienna,Virginia,United States,38.9013729,-77.2651762,213.7306489413463,12.158989819340938
Potomac,Maryland,United States,39.017936,-77.2094542,206.56361445655176,12.734691535789395
Chicago,Illinois,United States,41.8755616,-87.6244212,712.5484482200875,594.7715120998292
Miami,Florida,United States,25.7741728,-80.19362,1089.311110884636,922.1642316250433
Reston,Virginia,United States,38.9583737,-77.3579805,215.46238294791476,17.780137666321227
Brooklyn,New York,United States,40.6501038,-73.9495823,5.240280021829863,204.5131283761836
Philadelphia                  ,Pennsylvania,United States,39.9527237,-75.1635262,80.53083176135571,124.36246668243184
Springfield,Virginia,United States,38.7890522,-77.1870368,215.1716258520156,10.505595427246625
Columbia,Maryland,United States,39.193919550000004,-76.87477229012376,184.8692379620086,22.834800299969874
Los Angeles,California,United States,34.0536909,-118.242766,2450.859076099646,2299.018326576338
Annapolis,Maryland,United States,38.9786401,-76.492786,178.31846732704273,30.131916429640558
San Francisco,California,United States,37.7790262,-122.4199061,2571.874327249519,2440.7833537122874
Atlanta,Georgia,United States,33.7489924,-84.3902644,746.3646467292019,541.6937319682888
McLean,Virginia,United States,38.9342888,-77.1776327,208.59509585459105,8.03858688941414
Herndon,Virginia,United States,38.9695316,-77.3859479,216.25344215516498,19.440129370563074
Annandale,Virginia,United States,38.8303098,-77.1964966,213.78845203733525,9.354590333335151
Takoma Park,Maryland,United States,38.9778882,-77.0074765,199.48898539360692,6.375670866138847
Houston,Texas,United States,29.7589382,-95.3676974,1418.8844579666177,1218.9911066301358
Hyattsville,Maryland,United States,38.9529442,-76.9408647,197.74093982753533,6.932262759976237
Pittsburgh,Pennsylvania,United States,40.4416941,-79.9900861,315.3263515819799,190.27969096781325
Germantown,Maryland,United States,39.1731621,-77.2716502,203.34472222976555,23.22059301216956
Kensington,Maryland,United States,39.0256717,-77.0763375,200.453294318052,9.622937651702351
Laurel,Maryland,United States,39.0992752,-76.8483061,187.59644308233572,17.803234755273955
Frederick,Maryland,United States,39.4142186,-77.4109269,201.4915829996308,41.339907489980924
Woodbridge,Virginia,United States,38.6581723,-77.2497049,223.5466903747121,19.536306379987888
Seattle,Washington,United States,47.6038321,-122.3300624,2408.120847461602,2327.6763823401798
Bowie,Maryland,United States,38.9424464,-76.7301718,189.49681691678146,17.107171876286355
Boston,Massachusetts,United States,42.3602534,-71.0582912,190.4795151029144,395.14561542027946
Ellicott City,Maryland,United States,39.2673284,-76.7983067,178.59970630284673,29.15499806317707
Dallas,Texas,United States,32.7762719,-96.7968559,1372.8152647081874,1183.530886448139
Sterling,Virginia,United States,39.0016194,-77.4032011,215.76306554025786,21.040975465831515
San Diego,California,United States,32.7174202,-117.1627728,2432.915569020221,2274.5242493231085
Denver,Colorado,United States,39.7392364,-104.9848623,1631.2128032658168,1492.5833815777012
Austin,Texas,United States,30.2711286,-97.7436995,1512.672014980687,1317.1190833436578
Manassas,Virginia,United States,38.7509488,-77.4752667,229.0304185756087,25.338368727491048
Richmond,Virginia,United States,37.5385087,-77.43428,286.0932516558602,95.58756459826371
Leesburg,Virginia,United States,39.1154496,-77.5645446,218.80271676937997,32.256993837322305
Burke,Virginia,United States,38.7771321,-77.2754691,219.4077524704592,14.858560120633069
