city,state_name
Auburn,Indiana
Muskego,Wisconsin
Coral Gables,Florida
South Pasedena,California
Lackland Afb,Texas
Newton,Massachusetts
Lubbock,Texas
Shakopee,Minnesota
Perrineville,New Jersey
Upper Saddle Ri,New Jersey
Kanab,Utah
"Washington, D.C",District of Columbia
Ellicot,Maryland
Port Huron,Michigan
Olmsted Falls,Ohio
"Gaithesburg,",Maryland
Palau,Republic of Palau
Roberts,Wisconsin
N Pembroke,Massachusetts
Granville,New York
Elm City,North Carolina
Shingle Spring,California
"Arcata, Ca",California
Homestead,Florida
Broken Arrow,Oklahoma
Thornwood,New York
Goodlettsvlle,Tennessee
Blanchard,Oklahoma
Lathrup Village,Michigan
Belmont,Vermont
Wellington,Ohio
Sugar Loaf,New York
West Augusta,Virginia
Leesport,Pennsylvania
Craftsbury Common,Vermont
Curitiba,Puerto Rico
Erlangen Bayern,Delaware
Ionia,New York
Rehoboth Bch,Delaware
Marina Dl Rey,California
Polk City,Iowa
Belgrade,Maine
Tucson,Arizona
Granite Springs,New York
Colesville,Maryland
Altoona,Alabama
Millneck,New York
Lufkin,Maine
Martins Ferry,Ohio
Baldivis,Washington
"Oak Hill, Va 20171 3960",Virginia
Shorewood,Wisconsin
Patchogue,New York
Perryman,Maryland
Pembroke,Massachusetts
Melvin Village,New Hampshire
Scott,Louisiana
North West,Washington
Fpo San Francisco,California
Denmark,Maine
Barkhamsted,Connecticut
Madison,North Carolina
Oquossoc,Maine
Minneapolis,Minnesota
Sun City West,Arizona
Queensbury,New York
Williamsburg,Michigan
Staley,North Carolina
Washingotn,District of Columbia
Millville,Minnesota
East Marion,New York
Bethel,Maine
Odessa,Texas
Fruit Heights,Utah
Millersburg,Pennsylvania
Winnipeg,Montana
Ramsey,Minnesota
Gibsonville,North Carolina
Bernardston,Massachusetts
Rockton,Pennsylvania
Berkeley Heights,New Jersey
Medina,Washington
Mcleansville,North Carolina
Ludlow,Kentucky
Carolina,Puerto Rico
Cedar Hill,North Dakota
San Carlos,California
Saint Francis,South Dakota
"Woodbridge ",Virginia
Port St Lucie,Florida
Saint Marys,Pennsylvania
Mount Charleston,Nevada
Gold River,California
Mattapan,Massachusetts
Osprey,Florida
District Hts,Maryland
Nebraska City,Nebraska
Montgomery Vill,Maryland
Newtonville,New York
Scottville,Michigan
Palos Verdes Peninsula,California
Unity,Maine
Brookline,New Hampshire
Pittsburgh,Iowa
Whitewater,Wisconsin
Olivette,Missouri
Kissimmee,Florida
Fort Myer,Virginia
Grantham,Pennsylvania
Bernville,Pennsylvania
Whigham,Georgia
Reamstown,Pennsylvania
Willis,Texas
Winthrop,Maine
Pollocksville,North Carolina
Hohokus,New Jersey
Ho-Ho-Kus,New Jersey
Rogers City,Michigan
El Dorado Hills,California
Swampscot,Massachusetts
Winstead,Connecticut
Benedict,Maryland
Des Plains,Illinois
Wauchula,Florida
Illiopolis,Illinois
Eau Claire,Wisconsin
Rancocas,New Jersey
Vauxhall,New Jersey
Gardiner,Maine
Easton,Connecticut
Berryville,Arkansas
Nelson,Wisconsin
Callao,Virginia
Strasburg,Pennsylvania
Waterport,New York
Wartrace,Tennessee
Deer Park,Washington
Old Field,New York
Bladensberg,Maryland
Greensboro,Maryland
Scituate,Rhode Island
Georgetown,South Carolina
Logan,Utah
Oberlin,Ohio
North Platte,Nebraska
Thornton,Pennsylvania
Orangeburg,New York
Dumont,New Jersey
Washingon,District of Columbia
Saint Thomas,Missouri
Powers,Oregon
Mentmore,New Mexico
Yorktown,Virginia
Waukegan,Illinois
De Soto,Texas
La Plata,Maryland
Wantage,New Jersey
Beavertown,Oregon
West Palm Bch,Florida
Lakebay,Washington
Rowe,New Mexico
"Arlington, Va 22209 2868",District of Columbia
Lodi,New Jersey
Middleburg,Pennsylvania
Trout Dale,Virginia
North Huntington,Pennsylvania
N. Topsail Beach,North Carolina
Northville,Michigan
Greentown,Pennsylvania
Benison,Texas
Woodlawn,Tennessee
Maugansville,Maryland
Angie,Louisiana
Altamonte Spring,Florida
Youngsville,New York
Colorado,Mississippi
Asbury,New Jersey
Largmont,Colorado
Brooker,Florida
Duanesburg,New York
E. SYRACUSE,New York
Talcott,West Virginia
Slanesville,West Virginia
North Branch,New Jersey
Harbor City,California
Lackawanna,New York
Copake,New York
Yorba Linda,California
Trenton,Ohio
Higg064840713anum,Connecticut
Annapolis,Alabama
New Blaine,Arkansas
Ruthville,Virginia
Largo,Maryland
Dumas,Colorado
"McLean,",Virginia
Rawlins,Wyoming
Maybrook,New York
TALAHASSEE,Florida
Atlanta 30324,Georgia
Ft. Lauderdale,Florida
High Ridge,Missouri
Herriman,Utah
Moca,Puerto Rico
Lake Mills,Wisconsin
Frankfurt,Illinois
Fairfax902506017,Virginia
Cincinnati,Ohio
Bethesda,Massachusetts
Oakland,Utah
South Prince George,Virginia
Mchenry,Maryland
Betehsda,Maryland
Rston,Virginia
Gresham,Indiana
Glen Ellen,California
Aguanga,California
Hollywood,West Virginia
Oakland Park,Florida
Dushore,Pennsylvania
Browns Mills,New Jersey
San Sebastian,Puerto Rico
Novi,Michigan
St Francis,Wisconsin
Boulder,Montana
Malone,New York
Berkley,Michigan
Kirtland,New Mexico
Hickory,Kentucky
Andover,Maine
"Alexandria, Va 22312 634",Virginia
Decatur,Alabama
Hope Valley,Rhode Island
Pineywoods,Mississippi
Brilliant,Ohio
Lancaster,Pennsylvania
Jenison,Michigan
Bishop,California
Pollock Pines,California
Loudenville,New York
Como,Mississippi
"Durango,durango",New Mexico
Los Lunas,North Carolina
Atlantic Highlands,New Jersey
W. Chatham,Massachusetts
Garland,Texas
Kirkwood,New York
Kirkville,New York
Fort Washington,Pennsylvania
Atmore,Alabama
Bovill,Idaho
Santa Cruz,California
Cream Ridge,New Jersey
Jamestown,North Carolina
Rosemead,California
Pleasant Vly,New York
Decatur,Georgia
Huntington Wd,Michigan
Indianpolis,Indiana
"FAYETTEVILLE,",Arkansas
Fife,Washington
Clayton,North Carolina
Lamoine,Maine
"Brooklyn, Ny",New York
Mt.Pleasant,Utah
Bagno a Ripoli,Alaska
Loudonville,New York
Susanville,California
Burlington,Massachusetts
Alexandria,Pennsylvania
Spring Vale,Maine
Dulles,North Carolina
Apo Aa,Virginia
Roosevelt Island,New York
Dudley,Massachusetts
York Harber,Maine
Elk Rapids,Michigan
Dallas,Pennsylvania
Bridgewater Corners,Vermont
Hamtramck,Michigan
Flint,South Dakota
Lincolnia,Virginia
Redland,California
Annanndale,Virginia
Kansa City,Missouri
Pocono Summit,Pennsylvania
Dorado,Wisconsin
Dpo,Military Pacific
Ft Mitchell,Kentucky
Betlsville,Maryland
Irvington,Kentucky
Karns City,Pennsylvania
Blairsville,Georgia
Ltl Orleans,Maryland
Knox,Pennsylvania
Hampden,Maine
Hotchkiss,Colorado
Mc Connellsburg,Pennsylvania
Alrington,Virginia
Charlottessville,Virginia
Saint Marys,Ohio
Newton Upper Fa,Massachusetts
Page,Arizona
Portland,Maine
El Paso,Texas
Louisville,Ohio
Gaithersburg,Georgia
Rolesville,North Carolina
Toms River,New Jersey
Woodbury,New York
Milbridge,Maine
Gautier,Michigan
Berkeley,Iowa
Hayward,California
Virden,Illinois
Crystal Lake,Illinois
Maywood,New Jersey
Hunts Point,Washington
Mill Rift,Pennsylvania
Silver Sprin,Maryland
Lehi,Utah
Cotton Dale,Alabama
Melrose Pk,Pennsylvania
Placentia,California
Sugar Notch,Pennsylvania
Seaside,California
Athens,West Virginia
Upper Marlbor,Maryland
Templeton,Massachusetts
"Frederick, Md 21705 3571",Maryland
Lathrop,California
Waterford,Maine
Newton Lower Falls,Massachusetts
Raeford,North Carolina
Great River,New York
Olive Hill,Kentucky
Hampshire,Illinois
Topton,Pennsylvania
Marion,North Carolina
Kersey,Pennsylvania
Sabana Gardens,Puerto Rico
Savage,Maryland
Ft Washington,District of Columbia
Palmer,Alaska
Throop,Pennsylvania
Kew Gardens,New York
Bensenville,Illinois
Bloomfld Hls,Michigan
Fort Dix,New Jersey
Rockvill,Maryland
Roslyn Hts,New York
Alderson,Virginia
Folsom,California
Manchaea,Texas
Avon,North Carolina
Vestavia Hills,Alabama
Loretto,Minnesota
West,Texas
Richie,Maryland
Houghton,Michigan
Hamburg,Pennsylvania
Winchester,Indiana
Cannon Afb,New Mexico
Rock Creek,Ohio
Rockland,Massachusetts
Springs,Pennsylvania
Zullinger,Pennsylvania
Brigintine,New Jersey
Hebbronville,Texas
"Bethesda, Md 20814 4220",Military Pacific
North Las Vegas,Nevada
Albion,Pennsylvania
Hanover,Maryland
North Attleboro,Massachusetts
Saginaw,Michigan
Bastrop,Louisiana
Clinton,Maine
Windsor,Massachusetts
Kaibeto,Arizona
Mount Gilead,North Carolina
Conrad,Montana
Tustin,Michigan
Randolph,Wisconsin
Granite Spring,New York
New London,Connecticut
Flat Rock,Michigan
Ft Detrick,Maryland
Hominy,Oklahoma
Powder Springs,Georgia
